attribute,data_type,variable_type,value,requiered,message,override
flag_meanings,str,D,"Use in conjunction with flag_values to provide descriptive words or phrases for each flag value. If multi-word phrases are used to describe the flag values, then the words within a phrase should be connected with underscores.",no,None,FALSE
flag_values,var,D,Provides a list of the flag values. Use in conjunction with flag_meanings.,no,None,FALSE
geometry,str,D,Identifies a variable that defines geometry.,no,None,FALSE
grid_mapping,str,D,Identifies a variable that defines a grid mapping.,yes,None,FALSE
institution,str,D,Where the original data was produced.,no,None,FALSE
long_name,str,D,"A descriptive name that indicates a variable""s content. This name is not standardized.",yes,None,FALSE
missing_value,var,D,A value or values used to represent missing or undefined data. Allowed for auxiliary coordinate variables but not allowed for coordinate variables.,yes,None,FALSE
references,str,D,References that describe the data or methods used to produce it.,no,None,FALSE
scale_factor,num,D,"If present for a variable, the data are to be multiplied by this factor after the data are read by an application. See also the add_offset attribute. In cases where there is a strong constraint on dataset size, it is allowed to pack the coordinate variables (using add_offset and/or scale_factor), but this is not recommended in general.",no,None,FALSE
source,str,D,Method of production of the original data.,no,None,FALSE
standard_error_multiplier,num,D,"If a data variable with a standard_name modifier of standard_error has this attribute, it indicates that the values are the stated multiple of one standard error.",no,None,FALSE
standard_name,str,D,"A standard name that references a description of a variable""s content in the standard name table.",yes,None,FALSE
units,str,D,"Units of a variable""s content.",yes,None,FALSE
valid_max,num,D,Largest valid value of a variable.,no,None,FALSE
valid_min,num,D,Smallest valid value of a variable.,no,None,FALSE
valid_range,num,D,Smallest and largest valid values of a variable.,yes,None,FALSE
cell_measures,str,DO,Identifies variables that contain cell areas or volumes.,no,None,FALSE
coordinate_interpolation,str,DO,Indicates that coordinates have been compressed by sampling and identifies the tie point coordinate variables and their associated interpolation variables.,no,None,FALSE
coordinates,str,DO,"Identifies auxiliary coordinate variables, label variables, and alternate coordinate variables.",no,None,FALSE
dimensions,str,DO,Identifies the dimensions that define a domain variable.,no,None,FALSE
geometry,str,DO,Identifies a variable that defines geometry.,no,None,FALSE
grid_mapping,str,DO,Identifies a variable that defines a grid mapping.,yes,None,FALSE
long_name,str,DO,"A descriptive name that indicates a variable""s content. This name is not standardized.",yes,None,FALSE
coordinates,str,M,"Identifies auxiliary coordinate variables, label variables, and alternate coordinate variables.",no,None,FALSE
geometry_type,str,M,Indicates the type of geometry present.,no,None,FALSE
grid_mapping,str,M,Identifies a variable that defines a grid mapping.,no,None,FALSE
interior_ring,str,M,"Identifies a variable that indicates if polygon parts are interior rings (i.e., holes) or not.",no,None,FALSE
node_coordinates,str,M,Identifies variables that contain geometry node coordinates.,no,None,FALSE
node_count,str,M,Identifies a variable indicating the count of nodes per geometry.,no,None,FALSE
part_node_count,str,M,Identifies a variable providing the count of nodes per geometry part.,no,None,FALSE
calendar,str,T,Calendar used for encoding time axes.,yes,None,FALSE
leap_month,num,T,Specifies which month is lengthened by a day in leap years for a user defined calendar.,no,None,FALSE
leap_year,num,T,Provides an example of a leap year for a user defined calendar. It is assumed that all years that differ from this year by a multiple of four are also leap years.,no,None,FALSE
month_lengths,num,T,Specifies the length of each month in a non-leap year for a user defined calendar.,no,None,FALSE
positive,str,Z,Direction of increasing vertical coordinate value.,yes,None,FALSE
